Hotel ID,Hotel Name,Website URL,Status
53,Aston Lampung City Hotel,https://www.astonhotelsinternational.com/en/hotel/view/22/aston-lampung-city-hotel,Success
54,The Alana Yogyakarta Hotel & Convention Center,https://www.alanahotels.com/en/hotel/view/2/the-alana-yogyakarta-hotel---convention-center,Success
55,The Alana Hotel Surabaya,https://www.alanahotels.com/en/hotel/view/3/the-alana-hotel-surabaya,Success
57,Quest Hotel Simpang Lima - Semarang,https://www.questhotels.com/en/hotel/view/1/quest-hotel-simpang-lima---semarang,Success
58,Quest Hotel Solo,https://www.questhotels.com/eng/location/hotel/18-Quest-Hotel-Solo,Failed
59,Quest Hotel Darmo Surabaya,https://www.questhotels.com/en/hotel/view/4/quest-hotel-darmo---surabaya,Success
60,Quest Hotel San Denpasar,https://www.questhotels.com/en/hotel/view/8/quest-hotel-san-denpasar,Failed
61,Quest Hotel Kuta,https://www.questhotels.com/en/hotel/view/4/quest-hotel-kuta,Failed
62,Quest Hotel & Conference Center – Cebu,https://questhotelsandresorts.com/cebu/,Success
63,favehotel Tanah Abang - Cideng,https://www.favehotels.com/en/hotel/view/117/favehotel-tanah-abang---cideng,Success
64,Hotel Neo Melawai,https://www.neohotels.com/en/hotel/view/12/hotel-neo-melawai---jakarta,Success
65,Hotel Neo Tendean Jakarta,https://www.neohotels.com/en/hotel/view/11/hotel-neo-tendean-jakarta,Success
66,Hotel Neo+ Awana Yogyakarta,https://www.neohotels.com/en/hotel/view/21/hotel-neo--awana-yogyakarta,Failed
67,Hotel Neo Candi Simpang Lima - Semarang,https://www.neohotels.com/en/hotel/view/18/hotel-neo-candi-simpang-lima-semarang,Success
68,Hotel Neo Denpasar,https://www.neohotels.com/en/hotel/view/14/hotel-neo-denpasar,Success
69,"Hotel Neo Kuta, Jelantik",https://www.neohotels.com/en/hotel/view/1/hotel-neo---kuta--jelantik,Success
70,Hotel Neo Seminyak - Petitenget,https://www.neohotels.com/en/hotel/view/10/hotel-neo-seminyak---petitenget,Failed
71,Hotel Neo Hotel Medan,https://www.neohotels.com/en/location/overview/17/Hotel-NEO-Medan---North-Sumatra,Failed
72,favehotel Braga,https://www.favehotels.com/en/hotel/view/53/favehotel-braga,Success
73,favehotel Premier Cihampelas,https://www.favehotels.com/en/hotel/view/23/favehotel-premier-cihampelas,Success
74,favehotel Padjajaran Bogor,https://www.favehotels.com/en/hotel/view/24/favehotel-padjajaran,Success
75,favehotel Kusumanegara,https://www.favehotels.com/en/hotel/view/28/favehotel-kusumanegara,Success
76,favehotel Dieng Malang,https://www.favehotels.com/hotellist/eng/30/favehotel-dieng,Failed
77,favehotel Simpang Lima Semarang,https://www.favehotels.com/en/hotel/view/13/favehotel-simpang-lima-semarang,Success
78,favehotel Manahan - Solo,https://www.favehotels.com/en/hotel/view/8/favehotel-manahan-solo,Success
79,favehotel Solo Baru,https://www.favehotels.com/en/hotel/view/5/favehotel-solo-baru,Success
80,favehotel MEX Surabaya,https://www.favehotels.com/en/hotel/view/1/favehotel-mex-tunjungan-surabaya,Success
81,favehotel Kuta,https://www.favehotels.com/hotellist/eng/34/favehotel-kuta,Failed
82,favehotel Kuta Square,https://www.favehotels.com/en/hotel/view/37/favehotel-kuta-square,Failed
83,favehotel Seminyak,https://www.favehotels.com/en/hotel/view/78/favehotel-sunset-seminyak,Success
84,favehotel Umalas,https://www.favehotels.com/en/hotel/view/36/favehotel-umalas,Failed
85,favehotel M.T. Haryono - Balikpapan,https://www.favehotels.com/en/hotel/view/38/favehotel-m-t--haryono,Failed
86,favehotel Kasuari - Makassar,https://www.favehotels.com/hotellist/eng/64/favehotel-kasuari-makassar,Failed
87,favehotel Cenang Beach Langkawi Malaysia,https://www.favehotels.com/en/hotel/view/16/favehotel-cenang-beach-langkawi,Failed
88,favehotel Agung Square Kendari,https://www.favehotels.com/hotellist/eng/56/favehotel-agung-square-kendari,Failed
89,favehotel Graha Agung Surabaya,https://www.favehotels.com/en/hotel/view/57/favehotel-graha-agung,Success
90,Hotel Neo Palma - Palangkaraya,https://www.neohotels.com/en/hotel/view/35/hotel-neo-palma---palangkaraya,Success
91,favehotel Panakkukang,https://www.favehotels.com/en/hotel/view/58/favehotel-panakkukang,Failed
